,date,event,province,district,deaths,injured,missing,house_destroyed,house_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_local,education_center,hospitals,crops_damageHa,road_damage_M
89,2019-12-22,event,province, KOTA JAKARTA SELATAN,0.0,1.0,0.0,0.0,0.0,0.0,1.0, ,0.0,0,0.0,0.0,0.0,0.0
90,2019-12-22,event,province, JEPARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
91,2019-12-22,event,province, SRAGEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
92,2019-12-22,event,province, BOGOR,0.0,0.0,0.0,2.0,2.0,0.0,46.0, ,0.0,0,0.0,0.0,0.0,0.0
93,2019-12-22,event,province, JOMBANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
94,2019-12-22,event,province, TEGAL,0.0,0.0,0.0,2.0,0.0,0.0,0.0, ,0.0,0,0.0,1.0,0.0,0.0
95,2019-12-22,event,province, KLATEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
96,2019-12-22,event,province, BOGOR,0.0,0.0,0.0,1.0,1.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
97,2019-12-22,event,province, BADUNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
98,2019-12-21,event,province, PROBOLINGGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
99,2019-12-21,event,province, BOGOR,0.0,0.0,0.0,1.0,2.0,2.0,0.0, ,2.0,0,0.0,0.0,0.0,0.0
100,2019-12-21,event,province, SUKABUMI,0.0,0.0,0.0,7.0,5.0,0.0,462.0, ,0.0,0,2.0,0.0,0.0,0.0
101,2019-12-21,event,province, BIMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
102,2019-12-21,event,province, EMPAT LAWANG,0.0,1.0,0.0,3.0,0.0,0.0,1.0, ,0.0,0,0.0,0.0,0.0,0.0
103,2019-12-21,event,province, TEMANGGUNG,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
104,2019-12-21,event,province, MAGETAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
105,2019-12-21,event,province, JEPARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
106,2019-12-21,event,province, SERANG,0.0,0.0,0.0,0.0,0.0,0.0,13.0, ,0.0,0,0.0,0.0,0.0,0.0
107,2019-12-21,event,province, KOTA CILEGON,0.0,0.0,0.0,1.0,0.0,0.0,3785.0, ,0.0,0,0.0,0.0,0.0,0.0
108,2019-12-21,event,province, TANGERANG,0.0,0.0,0.0,6.0,4.0,0.0,200.0, ,0.0,0,0.0,0.0,0.0,0.0
109,2019-12-21,event,province, JEPARA,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
110,2019-12-20,event,province, PELALAWAN,0.0,0.0,0.0,0.0,0.0,115.0,7059.0, ,115.0,0,0.0,0.0,0.0,0.0
111,2019-12-20,event,province, WONOGIRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
112,2019-12-20,event,province, KOTA BUKITTINGGI,0.0,0.0,1.0,0.0,0.0,0.0,5.0, ,0.0,0,0.0,0.0,0.0,0.0
113,2019-12-20,event,province, KEBUMEN,0.0,0.0,0.0,1.0,0.0,4.0,0.0, ,4.0,0,0.0,0.0,0.0,0.0
114,2019-12-20,event,province, ROKAN HILIR,0.0,0.0,0.0,0.0,0.0,15.0,0.0, ,15.0,0,0.0,0.0,0.0,0.0
115,2019-12-20,event,province, CIAMIS,0.0,0.0,0.0,0.0,0.0,0.0,138.0, ,0.0,0,0.0,0.0,0.0,0.0
116,2019-12-20,event,province, TEMANGGUNG,0.0,0.0,0.0,0.0,0.0,0.0,2.0, ,0.0,0,0.0,0.0,0.0,0.0
117,2019-12-20,event,province, SRAGEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
118,2019-12-20,event,province, MAGELANG,0.0,0.0,0.0,0.0,0.0,0.0,31.0, ,0.0,0,0.0,0.0,0.0,0.0
119,2019-12-20,event,province, NGANJUK,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
120,2019-12-20,event,province, CIAMIS,0.0,0.0,0.0,0.0,0.0,0.0,4.0, ,0.0,0,0.0,0.0,0.0,0.0
121,2019-12-20,event,province, KLATEN,0.0,0.0,0.0,1.0,2.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
122,2019-12-20,event,province, MAGELANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
123,2019-12-20,event,province, KOTA TASIKMALAYA,0.0,0.0,0.0,0.0,0.0,0.0,4.0, ,0.0,0,0.0,0.0,0.0,0.0
124,2019-12-19,event,province, JEMBER,0.0,0.0,0.0,0.0,1.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
125,2019-12-19,event,province, BOJONEGORO,0.0,0.0,0.0,9.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
126,2019-12-19,event,province, MOJOKERTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
127,2019-12-19,event,province, SUMENEP,0.0,0.0,0.0,26.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
128,2019-12-19,event,province, BONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
129,2019-12-19,event,province, KOTA BUKITTINGGI,0.0,2.0,0.0,0.0,0.0,0.0,392.0, ,0.0,0,0.0,0.0,0.0,0.0
130,2019-12-19,event,province, PASAMAN,0.0,0.0,0.0,0.0,0.0,200.0,0.0, ,200.0,0,0.0,0.0,0.0,0.0
131,2019-12-19,event,province, LOMBOK TIMUR,0.0,0.0,0.0,6.0,0.0,16.0,0.0, ,16.0,0,1.0,0.0,0.0,0.0
132,2019-12-19,event,province, WONOGIRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
133,2019-12-19,event,province, BLITAR,0.0,0.0,0.0,0.0,0.0,0.0,65.0, ,0.0,0,0.0,0.0,0.0,0.0
134,2019-12-19,event,province, DHARMASRAYA,0.0,0.0,0.0,0.0,0.0,0.0,140.0, ,0.0,0,0.0,0.0,0.0,0.0
135,2019-12-19,event,province, JEMBER,0.0,0.0,0.0,1.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
136,2019-12-19,event,province, LIMA PULUH KOTO,0.0,0.0,0.0,8.0,0.0,129.0,4520.0, ,129.0,0,0.0,0.0,0.0,0.0
137,2019-12-19,event,province, PONOROGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
